risk_id,risk_name,risk_category,business_unit,description,likelihood_score,impact_score,velocity_score,control_effectiveness,regulatory_attention,trend_direction,owner,mitigation_status,last_review_date,next_review_date,inherent_risk,residual_risk,risk_status,priority_flag
ER-001,Ransomware Attack on Core Banking Systems,Cybersecurity,IT / Technology,"Threat actors deploy ransomware targeting core banking infrastructure, causing prolonged outages and potential data exfiltration.",4,5,5,0.55,High,Increasing,Chief Information Security Officer,In Progress,2025-12-15,2026-03-15,20,9.0,Escalate,True
ER-002,Third-Party API Breach via Vendor Integration,Cybersecurity,Operations,A compromised third-party fintech API exposes customer account data and enables unauthorized fund transfers.,3,4,4,0.5,High,Increasing,Head of Third-Party Risk,In Progress,2025-11-01,2026-02-01,12,6.0,Watchlist,False
ER-003,AI-Powered Phishing and Social Engineering,Cybersecurity,Retail Banking,"Generative AI enables hyper-personalised phishing campaigns targeting employees and customers, increasing credential theft.",4,3,4,0.45,Medium,Increasing,Chief Information Security Officer,In Progress,2026-01-10,2026-04-10,12,6.6,Watchlist,False
ER-004,Basel IV Capital Requirements Implementation,Regulatory / Compliance,Risk Management,"Revised Basel IV output floors require higher risk-weighted assets, potentially constraining lending capacity and ROE.",5,4,2,0.65,High,Stable,Chief Risk Officer,In Progress,2025-10-20,2026-04-20,20,7.0,Watchlist,False
ER-005,Digital Asset Regulatory Uncertainty,Regulatory / Compliance,Compliance,Rapidly evolving global crypto/digital-asset regulations create compliance gaps and potential enforcement actions.,4,3,3,0.4,High,Increasing,Chief Compliance Officer,In Progress,2026-01-05,2026-04-05,12,7.2,Watchlist,False
ER-006,Consumer Protection Rule Changes (CFPB),Regulatory / Compliance,Retail Banking,New CFPB rulemaking on overdraft fees and credit card late charges reduces fee income and requires product redesign.,4,3,2,0.6,High,Stable,Chief Compliance Officer,In Progress,2025-11-15,2026-02-15,12,4.8,Monitor,False
ER-007,Physical Climate Risk in Mortgage Portfolio,Climate / ESG,Retail Banking,Increased frequency of floods and wildfires impairs collateral values and drives mortgage defaults in exposed geographies.,3,5,2,0.35,High,Increasing,Head of Credit Risk,Not Started,2025-09-30,2026-03-30,15,9.75,Escalate,True
ER-008,Transition Risk from Carbon Pricing Legislation,Climate / ESG,Investment Banking,Carbon tax legislation impairs the credit quality of carbon-intensive borrowers and strands assets in the loan book.,3,4,2,0.4,High,Increasing,Chief Sustainability Officer,In Progress,2025-12-01,2026-06-01,12,7.2,Watchlist,False
ER-009,Greenwashing Enforcement and Reputational Risk,Climate / ESG,Asset Management,Regulators increase scrutiny of ESG fund labelling; misleading disclosures expose the firm to fines and reputational damage.,3,3,3,0.55,Medium,Increasing,Chief Compliance Officer,In Progress,2026-01-20,2026-04-20,9,4.05,Monitor,False
ER-010,US–China Trade War Escalation,Geopolitical,Investment Banking,"Escalating tariffs and export controls disrupt global supply chains, compress corporate margins, and increase credit losses.",4,4,3,0.3,Medium,Increasing,Head of Country Risk,In Progress,2026-02-01,2026-05-01,16,11.2,Escalate,True
